,mom_20,value_ep,value_bp,size_small,liquidity_turnover_shock,mom_plus_value
mom_20,1.0,0.07331669963656222,-0.33564719315007335,0.07037193621812135,0.28948087962619223,0.8923219518596345
value_ep,0.07331669963656222,1.0,0.16877948725522868,-0.20977544405394474,0.005840663270424507,0.37381564042856513
value_bp,-0.33564719315007335,0.16877948725522868,1.0,-0.3733340505953322,0.10253390937290134,-0.07560988103680545
size_small,0.07037193621812135,-0.20977544405394474,-0.3733340505953322,1.0,-0.04348238410713564,-0.1182534555072307
liquidity_turnover_shock,0.28948087962619223,0.005840663270424507,0.10253390937290134,-0.04348238410713564,1.0,0.29156756454768035
mom_plus_value,0.8923219518596345,0.37381564042856513,-0.07560988103680545,-0.1182534555072307,0.29156756454768035,1.0
