,mom_20,mom_plus_value,hybrid_mom_20_mom_plus_value
mom_20,1.0,0.8791430494384831,0.9421714002443674
mom_plus_value,0.8791430494384831,1.0,0.9846291684456856
hybrid_mom_20_mom_plus_value,0.9421714002443674,0.9846291684456856,1.0
