,mom_20,value_ep,value_bp,size_small,liquidity_turnover_shock,mom_plus_value
mom_20,1.0,0.007104682670413334,-0.2681740140991986,0.06200464145779522,0.35809061585641516,0.8542002844320601
value_ep,0.007104682670413334,1.0,0.17461511325949922,-0.2323866387349539,-0.028615792545298058,0.35843419925120007
value_bp,-0.2681740140991986,0.17461511325949922,1.0,-0.3369822283934933,0.12703996305546184,0.02675768053899999
size_small,0.06200464145779522,-0.2323866387349539,-0.3369822283934933,1.0,-0.07021624956562027,-0.16743655153421672
liquidity_turnover_shock,0.35809061585641516,-0.028615792545298058,0.12703996305546184,-0.07021624956562027,1.0,0.3386508882934942
mom_plus_value,0.8542002844320601,0.35843419925120007,0.02675768053899999,-0.16743655153421672,0.3386508882934942,1.0
