,mom_20,value_ep,value_bp,size_small,liquidity_turnover_shock,mom_plus_value
mom_20,1.0,-0.0335826701551159,-0.28422507074313613,0.006440719724232758,0.3566634204025308,0.8658362848395901
value_ep,-0.0335826701551159,1.0,0.21486551145394658,-0.16327137008405035,-0.0017873469091403593,0.2776865212098868
value_bp,-0.28422507074313613,0.21486551145394658,1.0,-0.3674843835908177,0.03227988783192775,-0.011528958990715633
size_small,0.006440719724232758,-0.16327137008405035,-0.3674843835908177,1.0,0.004730869898716706,-0.2214727161855747
liquidity_turnover_shock,0.3566634204025308,-0.0017873469091403593,0.03227988783192775,0.004730869898716706,1.0,0.336876585445187
mom_plus_value,0.8658362848395901,0.2776865212098868,-0.011528958990715633,-0.2214727161855747,0.336876585445187,1.0
