date,ticker,industry,close,return_1d,forward_return_5d,turnover,momentum_20,turnover_shock_5_20,earnings_yield,book_yield,size_inv,pe_ttm,pb,total_mv
2026-02-24,000001.SZ,银行,10.91,0.0,0.0018416206261511192,0.3105,-0.018884892086330818,-0.3648182940576521,0.20365769215103255,2.094240837696335,-16.868183346114343,4.9102,0.4775,21171856.754
2026-02-24,000007.SZ,其他商业,12.7,0.023368251410152974,-0.0007930214115781098,2.3761,0.11894273127753308,-0.07269456461215529,0.01287839957552795,0.04151754946816019,-12.994505041719204,77.6494,24.0862,439989.0159
2026-02-24,000009.SZ,电气设备,9.54,0.022508038585209,-0.06673618352450472,0.7505,-0.06009852216748779,-0.5239719225133324,0.002864306897881158,0.4095842719639566,-14.715903638211476,349.1246,2.4415,2460570.1226
2026-02-24,000017.SZ,服饰,7.85,0.03289473684210531,-0.04884318766066842,2.076,0.008997429305912519,-0.6936167146232363,0.00746018684783979,0.0691830861191056,-13.20119336060933,134.0449,14.4544,541010.1724
2026-02-24,600601.SH,元器件,11.53,0.04061371841155226,-0.09862778730703259,3.3483,-0.08127490039840646,-0.28869277758851597,0.007387957924102031,0.09038322487346348,-15.410367796872652,135.3554,11.064,4927625.5487
2026-02-24,600602.SH,软件服务,20.8,-0.06810035842293904,-0.04588061174148983,6.4349,0.06230847803881523,0.04720374040741748,0.006667475653712651,0.16946567472758392,-14.860989539898506,149.9818,5.9009,2844760.7864
2026-02-24,600603.SH,区域地产,6.78,0.0,-0.005633802816901401,0.6818,0.07961783439490455,-0.18331498039906613,0.05009216959204937,0.9030160736861117,-13.603649573939478,19.9632,1.1074,809077.1644
2026-02-24,600605.SH,房产服务,27.71,-0.0007212405337180261,-0.06916221033868097,0.6238,-0.0328097731239092,-0.357269839419462,0.0040192861426267806,0.24870053968017108,-13.256209789305068,248.8004,4.0209,571608.6108
2026-02-24,600651.SH,电器仪表,7.9,-0.022277227722772297,-0.07356608478802995,1.0949,-0.061757719714964354,0.003740887025211803,0.0025065822850806217,0.12586849259893262,-14.498886218292979,398.9496,7.9448,1980552.1319
2026-02-24,600653.SH,汽车服务,1.94,0.015706806282722585,-0.04591836734693866,1.2799,0.0,0.13962058853120585,0.001531518575712229,0.19358835372463992,-12.841584837971393,652.9467,5.1656,377597.7815
2026-02-24,600654.SH,仓储物流,3.77,0.0026595744680850686,-0.09210526315789469,2.0313,-0.040712468193384255,-0.28442966513365064,0.01907181300468785,0.15942860786939608,-13.896942077991321,52.4334,6.2724,1084838.9253
2026-02-25,000001.SZ,银行,10.86,-0.004582951420714965,-0.014719411223550916,0.5478,-0.026881720430107614,-0.27411430322369335,0.20459520838021975,2.103934357248054,-16.863589860774674,4.8877,0.4753,21074827.163
2026-02-25,000007.SZ,其他商业,12.61,-0.007086614173228312,0.0007598784194529085,2.4284,0.14845173041894344,-0.11176093608749715,0.012970303193807459,0.04181388639167067,-12.987393198222655,77.0992,23.9155,436870.9835
2026-02-25,000009.SZ,电气设备,9.59,0.00524109014675056,-0.06947368421052635,1.5086,-0.041000000000000036,-0.3890732105473974,0.0028493730239598078,0.4074481522226297,-14.721131041636541,350.9544,2.4543,2473466.1924
2026-02-25,000017.SZ,服饰,7.78,-0.008917197452229186,-0.033986928104575265,1.7507,0.0012870012870014325,-0.7100726530584149,0.007527309077332562,0.06980559142787338,-13.192236167063047,132.8496,14.3255,536185.8779
2026-02-25,600601.SH,元器件,11.66,0.011274934952298477,-0.11735121542330262,2.6154,-0.05126118795768908,-0.20381010863049553,0.007305589140972302,0.08937588817288872,-15.421579643507835,136.8815,11.1887,4983184.2062
2026-02-25,600602.SH,软件服务,20.27,-0.02548076923076925,-0.0780651340996168,4.2301,0.04971517348524079,0.019812679541964195,0.0068418078245651,0.17389792191983305,-14.835178513660553,146.1602,5.7505,2772274.0933
2026-02-25,600603.SH,区域地产,7.1,0.0471976401179941,-0.004249291784702458,1.7807,0.1359999999999999,-0.026618399532464476,0.047834530791087466,0.8623663332183512,-13.64976725599545,20.9054,1.1596,847263.6972
2026-02-25,600605.SH,房产服务,28.05,0.012269938650306678,-0.061833688699360456,0.7026,-0.0674867021276595,-0.28711256117455153,0.003970566981082631,0.24568817257137243,-13.268405062249387,251.8532,4.0702,578622.2133
2026-02-25,600651.SH,电器仪表,8.02,0.015189873417721378,-0.08125000000000004,0.9117,-0.04066985645933008,0.027436972803096094,0.0024690772761929596,0.12398487384539086,-14.51396188065826,405.0096,8.0655,2010636.468
2026-02-25,600653.SH,汽车服务,1.96,0.010309278350515427,-0.060913705583756306,1.9817,0.0,0.08429039527111604,0.001515890856464691,0.19161493063539511,-12.851841338049404,659.6781,5.2188,381490.5421
2026-02-25,600654.SH,仓储物流,3.8,0.007957559681697646,-0.08776595744680837,2.0926,-0.02813299232736577,-0.2425727977858938,0.01892126106420741,0.1581702861300476,-13.904868143270049,52.8506,6.3223,1093471.5958
2026-02-26,000001.SZ,银行,10.87,0.0009208103130755596,-0.008256880733944927,0.3673,-0.01806684733514008,-0.20463716133990917,0.20440701524876334,2.102165230187093,-16.864510247402098,4.8922,0.4757,21094233.0812
2026-02-26,000007.SZ,其他商业,13.16,0.04361617763679626,-0.027900146842878004,3.1697,0.16666666666666674,-0.0002902709471954701,0.012428242435239536,0.04006634987539365,-13.030084974097601,80.4619,24.9586,455925.6259
2026-02-26,000009.SZ,电气设备,9.5,-0.009384775808133461,-0.06282722513089023,1.0526,-0.06679764243614927,-0.2946795315174676,0.0028763668495268954,0.4113195129976966,-14.711701951382246,347.6608,2.4312,2450253.2668
2026-02-26,000017.SZ,服饰,7.65,-0.016709511568123392,-0.042857142857142816,1.519,-0.04613466334164584,-0.695783502460493,0.0076552269506857925,0.07099146682568755,-13.175385476577349,130.6297,14.0862,527226.4737
2026-02-26,600601.SH,元器件,11.93,0.023156089193824947,-0.04052863436123344,4.1103,-0.03322528363047006,-0.034857527197411975,0.007140245852945209,0.08735302852949911,-15.444471698705506,140.0512,11.4478,5098575.2642
2026-02-26,600602.SH,软件服务,20.88,0.030093734583127807,-0.10285455369279561,6.0338,0.08298755186721984,-0.07308472036606439,0.006641927699960215,0.1688162603822,-14.864828316191664,150.5587,5.9236,2855702.174
2026-02-26,600603.SH,区域地产,7.06,-0.005633802816901401,0.0,0.9303,0.1387096774193548,-0.13822018988112483,0.0481056014162289,0.8672274737663689,-13.64411752345801,20.7876,1.1531,842490.3806
2026-02-26,600605.SH,房产服务,28.14,0.0032085561497325887,-0.02353367125271555,0.7352,-0.06262491672218518,-0.250459495952272,0.003957869273161055,0.24489995836700706,-13.27160848203436,252.6612,4.0833,580478.7552
2026-02-26,600651.SH,电器仪表,8.0,-0.0024937655860348684,-0.06102117061021162,0.9165,-0.03498190591073569,-0.20466945447355134,0.002475249975495025,0.12429462798617842,-14.511465000474594,403.9996,8.0454,2005622.412
2026-02-26,600653.SH,汽车服务,1.97,0.005102040816326481,-0.0505050505050505,1.85,0.015463917525773141,0.06753941863832535,0.0015081957620000728,0.19063959584405682,-12.856930407512964,663.0439,5.2455,383436.9224
2026-02-26,600654.SH,仓储物流,3.76,-0.010526315789473717,-0.0714285714285714,1.8077,-0.0505050505050505,-0.1962113735178065,0.019122542992257283,0.1598542129577825,-13.894286033961889,52.2943,6.2557,1081961.3685
2026-02-27,000001.SZ,银行,10.9,0.002759889604415866,-0.0027649769585252892,0.3155,-0.015356820234869062,-0.21219372850844564,0.20384450740974783,2.0959966464053656,-16.867266335504365,4.9057,0.4771,21152450.8358
2026-02-27,000007.SZ,其他商业,13.62,0.03495440729483268,-0.017037037037037073,2.4314,0.20105820105820094,0.029566929293997513,0.012008492405829402,0.0387131740931439,-13.06444234887123,83.2744,25.831,471862.2359
2026-02-27,000009.SZ,电气设备,9.55,0.0052631578947368585,-0.0235294117647058,0.7852,-0.059113300492610765,-0.24185886617913632,0.002861307285517837,0.40916530278232405,-14.716951307258133,349.4906,2.444,2463149.3366
2026-02-27,000017.SZ,服饰,7.7,0.006535947712418277,-0.014397905759162222,1.1738,-0.022842639593908642,-0.6968015706650001,0.007605517042062313,0.0705308149130355,-13.18190015766505,131.4835,14.1782,530672.3984
2026-02-27,600601.SH,元器件,11.35,-0.04861693210393969,-0.03429602888086647,5.843,-0.0934504792332268,0.20846566622432494,0.007505124123495317,0.09181640391872413,-15.39463320651205,133.2423,10.8913,4850698.1767
2026-02-27,600602.SH,软件服务,22.07,0.05699233716475094,-0.04976525821596256,10.578,0.12717058222676214,-0.05178159704392826,0.006283798983784028,0.1597137928831534,-14.920255773464849,159.1394,6.2612,3018455.3152
2026-02-27,600603.SH,区域地产,7.16,0.014164305949008638,0.023709902370990132,1.2756,0.08157099697885206,-0.031171533108544036,0.04743360481166487,0.8551393877201984,-13.65818245291381,21.0821,1.1694,854423.6721
