,mom_20,liquidity_turnover_shock,hybrid_mom_20_liquidity_turnover_shock
mom_20,1.0,0.22852826967444434,0.44220546414365786
liquidity_turnover_shock,0.22852826967444434,1.0,0.9614316985080422
hybrid_mom_20_liquidity_turnover_shock,0.44220546414365786,0.9614316985080422,1.0
