,mom_20,value_ep,value_bp,size_small,liquidity_turnover_shock,mom_plus_value
mom_20,1.0,0.007316262197378755,-0.2925819352414417,0.025379527387077674,0.3176440755105737,0.8791430494384831
value_ep,0.007316262197378755,1.0,0.17360420027044088,-0.2070405478311461,0.007331027936585964,0.3188892102769062
value_bp,-0.2925819352414417,0.17360420027044088,1.0,-0.3841167112533507,0.08022511575840283,-0.028629475168557305
size_small,0.025379527387077674,-0.2070405478311461,-0.3841167112533507,1.0,-0.022964022271591604,-0.18731884370618418
liquidity_turnover_shock,0.3176440755105737,0.007331027936585964,0.08022511575840283,-0.022964022271591604,1.0,0.3145494855658852
mom_plus_value,0.8791430494384831,0.3188892102769062,-0.028629475168557305,-0.18731884370618418,0.3145494855658852,1.0
