,mom_20,value_ep,value_bp,size_small,liquidity_turnover_shock,mom_plus_value
mom_20,1.0,0.03835132467634912,-0.3067648015795043,0.03719835476949385,0.3004192889424671,0.8895847511415579
value_ep,0.03835132467634912,1.0,0.17237011130540952,-0.20633880920370204,0.018977025744628895,0.34615815620475937
value_bp,-0.3067648015795043,0.17237011130540952,1.0,-0.3782977160455003,0.10147771788681331,-0.046799523262181196
size_small,0.03719835476949385,-0.20633880920370204,-0.3782977160455003,1.0,-0.04434688495409678,-0.1517238250932443
liquidity_turnover_shock,0.3004192889424671,0.018977025744628895,0.10147771788681331,-0.04434688495409678,1.0,0.31449677574022816
mom_plus_value,0.8895847511415579,0.34615815620475937,-0.046799523262181196,-0.1517238250932443,0.31449677574022816,1.0
