,mom_20,value_ep,value_bp,size_small,liquidity_turnover_shock,mom_plus_value
mom_20,1.0,-0.05197551223112947,-0.13566477839551114,-0.03726011358361055,0.3663815511588438,0.8900636653800589
value_ep,-0.05197551223112947,1.0,0.5523952610106084,-0.1712193134417859,0.021108591613287413,0.2567180479130178
value_bp,-0.13566477839551114,0.5523952610106084,1.0,-0.45346169700003314,0.03488720704331128,0.14319132757933117
size_small,-0.03726011358361055,-0.1712193134417859,-0.45346169700003314,1.0,0.0016559509558576047,-0.2334409559038052
liquidity_turnover_shock,0.3663815511588438,0.021108591613287413,0.03488720704331128,0.0016559509558576047,1.0,0.3477923657076689
mom_plus_value,0.8900636653800589,0.2567180479130178,0.14319132757933117,-0.2334409559038052,0.3477923657076689,1.0
