,mom_20,value_ep,value_bp,size_small,liquidity_turnover_shock,mom_plus_value
mom_20,1.0,-0.014699948588632333,-0.112485851914659,0.036916522994983145,0.329936129606771,0.8206633168340923
value_ep,-0.014699948588632333,1.0,0.15163406801123955,-0.24425648632598262,-0.015574703927330982,0.3666589348734304
value_bp,-0.112485851914659,0.15163406801123955,1.0,-0.3120691663095581,0.22973409782284993,0.19034852683999284
size_small,0.036916522994983145,-0.24425648632598262,-0.3120691663095581,1.0,-0.1075260848936477,-0.22904781341912903
liquidity_turnover_shock,0.329936129606771,-0.015574703927330982,0.22973409782284993,-0.1075260848936477,1.0,0.32283143261807395
mom_plus_value,0.8206633168340923,0.3666589348734304,0.19034852683999284,-0.22904781341912903,0.32283143261807395,1.0
