,mom_20,value_ep,value_bp,size_small,liquidity_turnover_shock,mom_plus_value
mom_20,1.0,0.06602896174116596,-0.3278790889198275,0.07412179995997004,0.309489420367377,0.891296733836967
value_ep,0.06602896174116596,1.0,0.1692966092372788,-0.2118994685642826,0.002320247840882268,0.368348350647542
value_bp,-0.3278790889198275,0.1692966092372788,1.0,-0.36560395304690574,0.11063647294443285,-0.06887230085189386
size_small,0.07412179995997004,-0.2118994685642826,-0.36560395304690574,1.0,-0.04452665855055582,-0.113372676539676
liquidity_turnover_shock,0.309489420367377,0.002320247840882268,0.11063647294443285,-0.04452665855055582,1.0,0.3062041653907569
mom_plus_value,0.891296733836967,0.368348350647542,-0.06887230085189386,-0.113372676539676,0.3062041653907569,1.0
