,mom_20,value_ep,hybrid_mom_20_value_ep
mom_20,1.0,0.17059121573435962,0.8993610584702817
value_ep,0.17059121573435962,1.0,0.4372302336017148
hybrid_mom_20_value_ep,0.8993610584702817,0.4372302336017148,1.0
