,liquidity_turnover_shock,mom_20,hybrid_liquidity_turnover_shock_mom_20
liquidity_turnover_shock,1.0,0.22852826967444434,0.9614316985080422
mom_20,0.22852826967444434,1.0,0.44220546414365786
hybrid_liquidity_turnover_shock_mom_20,0.9614316985080422,0.44220546414365786,1.0
