,mom_20,value_ep,value_bp,size_small,liquidity_turnover_shock,mom_plus_value
mom_20,1.0,0.04251699667111955,-0.31433753506143025,0.07320095630050084,0.3160106323133121,0.8765395972491374
value_ep,0.04251699667111955,1.0,0.1710243368175542,-0.22590340907680265,-0.05102832026578643,0.36242068483453127
value_bp,-0.31433753506143025,0.1710243368175542,1.0,-0.3538857483295637,0.09742118257387543,-0.03956067160971304
size_small,0.07320095630050084,-0.22590340907680265,-0.3538857483295637,1.0,-0.0863294539579841,-0.1310978788524893
liquidity_turnover_shock,0.3160106323133121,-0.05102832026578643,0.09742118257387543,-0.0863294539579841,1.0,0.30090823641733866
mom_plus_value,0.8765395972491374,0.36242068483453127,-0.03956067160971304,-0.1310978788524893,0.30090823641733866,1.0
