date,ticker,industry,close,return_1d,forward_return_5d,turnover,momentum_20,turnover_shock_5_20,earnings_yield,book_yield,size_inv,pe_ttm,pb,total_mv
2025-11-17,000001.SZ,银行,11.67,-0.006808510638297904,0.0008628127696290733,0.5129,0.02189141856392296,0.07523929075788471,0.1903927803057708,1.9577133907595927,-16.93552499257018,5.2523,0.5108,22646706.5371
2025-11-18,000001.SZ,银行,11.59,-0.006855184233076295,0.0,0.3453,0.013998250218722585,0.036266367156326584,0.19170676533174855,1.9712201852946976,-16.928646203622673,5.2163,0.5073,22491459.1915
2025-11-19,000001.SZ,银行,11.8,0.018119068162208984,-0.013502109704641385,0.6879,0.02430555555555558,0.04890374896716043,0.18829554869322887,1.9364833462432225,-16.946603077740086,5.3108,0.5164,22898983.4736
2025-11-20,000001.SZ,银行,11.85,0.004237288135593209,0.0017108639863132602,0.8436,0.018916595012897552,0.16401433963695689,0.18750117188232426,1.928268414963363,-16.950831413850047,5.3333,0.5186,22996013.0646
2025-11-21,000001.SZ,银行,11.69,-0.013502109704641385,0.0008620689655172153,0.7551,0.011245674740484324,0.16538817861775068,0.19006709368407046,1.954652071931196,-16.937237321755866,5.2613,0.5116,22685518.3735
2025-11-24,000001.SZ,银行,11.6,-0.007698887938408894,-0.009322033898305215,0.5757,0.00694444444444442,0.19563880346659213,0.19154152620288079,1.9696671262556626,-16.92950864438342,5.2208,0.5077,22510865.1097
2025-11-25,000001.SZ,银行,11.8,0.017241379310344973,-0.004277159965782595,0.5298,0.028770706190061057,0.25199771162825013,0.18829554869322887,1.9364833462432225,-16.946603077740086,5.3108,0.5164,22898983.4736
2025-11-26,000001.SZ,银行,11.69,-0.009322033898305215,-0.013663535439795038,0.4232,0.026338893766461702,0.16231057262582804,0.19006709368407046,1.954652071931196,-16.937237321755866,5.2613,0.5116,22685518.3735
2025-11-27,000001.SZ,银行,11.71,0.0017108639863132602,-0.01033591731266148,0.5214,0.02899824253075578,0.039174646687288206,0.18974251940117262,1.9512195121951221,-16.938946723881685,5.2703,0.5125,22724330.2099
2025-11-28,000001.SZ,银行,11.61,-0.008539709649872052,-0.01368691189050475,0.4557,0.025618374558303847,-0.06791277258566997,0.19137657168009492,1.96811651249754,-16.93037034198099,5.2253,0.5081,22530271.0279
2025-12-01,000001.SZ,银行,11.69,0.006890611541774394,-0.010309278350515538,0.5345,0.022747156605424257,-0.08695692441628933,0.19006709368407046,1.954652071931196,-16.937237321755866,5.2613,0.5116,22685518.3735
2025-12-02,000001.SZ,银行,11.64,-0.004277159965782595,-0.010389610389610504,0.3958,0.004314063848144922,-0.10521567197128223,0.19088340841414064,1.9630938358853554,-16.932950988574742,5.2388,0.5094,22588488.7825
2025-12-03,000001.SZ,银行,11.55,-0.0077319587628865705,-0.013925152306353383,0.4868,0.0026041666666667407,-0.08755883305703238,0.19237058269049498,1.9782393669634029,-16.92518898323846,5.1983,0.5055,22413835.5187
