,mom_20,value_ep,value_bp,size_small,liquidity_turnover_shock,mom_plus_value
mom_20,1.0,0.04834983500944327,-0.31041490064934135,0.0737394928305012,0.3283944637937564,0.8778595869610792
value_ep,0.04834983500944327,1.0,0.17403951730856995,-0.22500151291875573,-0.03942276522143777,0.36600569237099045
value_bp,-0.31041490064934135,0.17403951730856995,1.0,-0.34732251097086153,0.09629641427733077,-0.038308728899708426
size_small,0.0737394928305012,-0.22500151291875573,-0.34732251097086153,1.0,-0.09074530915029722,-0.1289483546202115
liquidity_turnover_shock,0.3283944637937564,-0.03942276522143777,0.09629641427733077,-0.09074530915029722,1.0,0.3108223452869542
mom_plus_value,0.8778595869610792,0.36600569237099045,-0.038308728899708426,-0.1289483546202115,0.3108223452869542,1.0
