,mom_20,value_ep,value_bp,size_small,liquidity_turnover_shock,mom_plus_value
mom_20,1.0,0.17059121573435962,0.028506403826433113,0.25076468915954037,0.22852826967444434,0.8993610584702817
value_ep,0.17059121573435962,1.0,0.15473835068078176,-0.25618572514705684,0.073665607010004,0.4372302336017148
value_bp,0.028506403826433113,0.15473835068078176,1.0,-0.3056767135144108,0.15774774174570866,0.22221629406119414
size_small,0.25076468915954037,-0.25618572514705684,-0.3056767135144108,1.0,0.045016265405747186,0.02687201843309245
liquidity_turnover_shock,0.22852826967444434,0.073665607010004,0.15774774174570866,0.045016265405747186,1.0,0.21053963455020427
mom_plus_value,0.8993610584702817,0.4372302336017148,0.22221629406119414,0.02687201843309245,0.21053963455020427,1.0
