,mom_20,mom_plus_value,liquidity_turnover_shock,size_small
mom_20,1.0,0.8952965074168439,0.2081765563454027,0.2562072133538318
mom_plus_value,0.8952965074168439,1.0,0.19226520132287864,0.02375216764087691
liquidity_turnover_shock,0.2081765563454027,0.19226520132287864,1.0,0.055277744557973046
size_small,0.2562072133538318,0.02375216764087691,0.055277744557973046,1.0
