,mom_20,value_ep,value_bp,size_small,liquidity_turnover_shock,mom_plus_value
mom_20,1.0,-0.04129002398590377,-0.25787962655025093,-0.010534209199818435,0.35753750343551594,0.8634450849241211
value_ep,-0.04129002398590377,1.0,0.22188462441734508,-0.1530729621191416,-0.008059765905814255,0.27297406911472044
value_bp,-0.25787962655025093,0.22188462441734508,1.0,-0.36875790257742874,0.032825025484858196,0.015243304312751168
size_small,-0.010534209199818435,-0.1530729621191416,-0.36875790257742874,1.0,0.007056497204506126,-0.2382202448538367
liquidity_turnover_shock,0.35753750343551594,-0.008059765905814255,0.032825025484858196,0.007056497204506126,1.0,0.3355548413127289
mom_plus_value,0.8634450849241211,0.27297406911472044,0.015243304312751168,-0.2382202448538367,0.3355548413127289,1.0
