,mom_20,value_ep,value_bp,size_small,liquidity_turnover_shock,mom_plus_value
mom_20,1.0,-0.02078696152052612,-0.1643549607610751,0.051320008674288535,0.32025898468248293,0.8300702364432981
value_ep,-0.02078696152052612,1.0,0.16507818446392922,-0.24440935405135633,-0.040059193941942316,0.3635237955652982
value_bp,-0.1643549607610751,0.16507818446392922,1.0,-0.321041960313428,0.2265529425652762,0.14164382634275519
size_small,0.051320008674288535,-0.24440935405135633,-0.321041960313428,1.0,-0.06786597545248327,-0.201347182086739
liquidity_turnover_shock,0.32025898468248293,-0.040059193941942316,0.2265529425652762,-0.06786597545248327,1.0,0.3053817048378592
mom_plus_value,0.8300702364432981,0.3635237955652982,0.14164382634275519,-0.201347182086739,0.3053817048378592,1.0
