,mom_20,mom_plus_value,liquidity_turnover_shock,size_small
mom_20,1.0,0.8206633168340923,0.329936129606771,0.036916522994983145
mom_plus_value,0.8206633168340923,1.0,0.32283143261807395,-0.22904781341912903
liquidity_turnover_shock,0.329936129606771,0.32283143261807395,1.0,-0.1075260848936477
size_small,0.036916522994983145,-0.22904781341912903,-0.1075260848936477,1.0
