date,ticker,industry,close,return_1d,forward_return_5d,turnover,momentum_20,turnover_shock_5_20,earnings_yield,book_yield,size_inv,pe_ttm,pb,total_mv
2025-07-29,000001.SZ,银行,12.34,-0.009630818619582704,-0.0016012810248198228,0.5219,0.003252032520325132,-0.10774327979603182,0.182368603421235,1.7921146953405016,-16.991349564746116,5.4834,0.558,23946903.0563
2025-07-30,000001.SZ,银行,12.49,0.012155591572123203,0.018806214227309992,0.8839,0.01379870129870131,-0.07760819915132933,0.1801801801801802,1.7705382436260624,-17.003431870407617,5.55,0.5648,24237991.8293
2025-07-31,000001.SZ,银行,12.23,-0.02081665332265814,0.01547231270358318,0.8709,-0.009716599190283337,-0.1382413290153519,0.18400956849756187,1.807991321641656,-16.982395495971232,5.4345,0.5531,23733437.9562
2025-08-01,000001.SZ,银行,12.28,0.004088307440719419,0.008130081300812941,0.5216,-0.025396825396825418,-0.12931444027085404,0.18326094525995565,1.8008283810552854,-16.98647546898736,5.4567,0.5553,23830467.5471
2025-08-04,000001.SZ,银行,12.3,0.0016286644951140072,-0.013632718524458687,0.5322,-0.037558685446009266,-0.14320811386160925,0.18296252927400466,1.7979144192736425,-16.988102808646907,5.4656,0.5562,23869279.3835
2025-08-05,000001.SZ,银行,12.47,0.0138211382113822,-0.010433386837881309,0.5834,-0.01733648542159172,-0.12857500690434753,0.18046958185197884,1.7733640716439085,-17.00182930596191,5.5411,0.5639,24199179.9929
2025-08-06,000001.SZ,银行,12.46,-0.000801924619085792,-0.016840417000801966,0.3558,-0.029595015576323935,-0.25147345173220415,0.1806130005237777,1.774622892635315,-17.001027059629187,5.5367,0.5635,24179774.0747
2025-08-07,000001.SZ,银行,12.47,0.0008025682182986049,-0.016129032258064613,0.3721,-0.0538694992412746,-0.34291826415513704,0.18046958185197884,1.7733640716439085,-17.00182930596191,5.5411,0.5639,24199179.9929
2025-08-08,000001.SZ,银行,12.4,-0.005613472333600655,-0.01788617886178867,0.4276,-0.039504260263361735,-0.33035036377977145,0.18148820326678766,1.7834849295523454,-16.996200018880373,5.51,0.5607,24063338.5655
2025-08-11,000001.SZ,银行,12.3,-0.008064516129032251,-0.020275750202757514,0.4815,-0.05238828967642528,-0.3210979720691315,0.18296252927400466,1.7979144192736425,-16.988102808646907,5.4656,0.5562,23869279.3835
2025-08-12,000001.SZ,银行,12.33,0.0024390243902439046,-0.01631321370309946,0.3504,-0.03142183817753341,-0.36401673640167376,0.1825183887276643,1.793400286944046,-16.990538863445042,5.4789,0.5576,23927497.1381
2025-08-13,000001.SZ,银行,12.26,-0.005677210056772131,-0.0106557377049179,0.5771,-0.030063291139240556,-0.268842120943782,0.18356033628253607,1.8037518037518037,-16.98484547677626,5.4478,0.5544,23791655.7107
2025-08-14,000001.SZ,银行,12.2,-0.004893964110929905,0.005794701986755024,0.6395,-0.030976965845909477,-0.1905524681268389,0.184464407592555,1.8125793003443902,-16.979939498011113,5.4211,0.5517,23675220.2016
2025-08-15,000001.SZ,银行,12.08,-0.00983606557377048,-0.0016556291390728006,1.0041,-0.04881889763779523,-0.030959088925042844,0.18629606170125565,1.8304960644334614,-16.970054738777563,5.3678,0.5463,23442349.1832
2025-08-18,000001.SZ,银行,12.08,0.0,0.03233830845771135,0.6385,-0.04203013481363993,0.012252621619490478,0.18629606170125565,1.8304960644334614,-16.970054738777563,5.3678,0.5463,23442349.1832
2025-08-19,000001.SZ,银行,12.06,-0.0016556291390728006,0.024026512013255896,0.4601,-0.03442754203362686,0.09315154209685628,0.18660546007576181,1.8335166850018336,-16.968397737569763,5.3589,0.5454,23403537.3468
2025-08-20,000001.SZ,银行,12.07,0.0008291873963515162,-0.007407407407407418,0.5404,-0.036711891460494694,0.09603586006560993,0.18644889435805645,1.832172957127153,-16.96922658138025,5.3634,0.5458,23422943.265
2025-08-21,000001.SZ,银行,12.15,0.006628003314001596,0.0016583747927030323,0.6274,-0.0161943319838056,0.12799199834448527,0.18522291577914018,1.8201674554058973,-16.975832716058044,5.3989,0.5494,23578190.6106
2025-08-22,000001.SZ,银行,12.06,-0.007407407407407418,-0.032128514056224744,0.8473,-0.02348178137651813,0.04893126042210594,0.18660546007576181,1.8335166850018336,-16.968397737569763,5.3589,0.5454,23403537.3468
2025-08-25,000001.SZ,银行,12.45,0.03233830845771135,-0.03802588996763745,1.5692,-0.0008025682182987159,0.2633913579957672,0.18004393071909547,1.8214936247723132,-17.000224169180516,5.5542,0.549,24160368.1565
2025-08-26,000001.SZ,银行,12.36,-0.0072289156626506035,-0.0066334991708125735,0.713,0.0016207455429497752,0.3226531240381658,0.18135325801128016,1.8348623853211008,-16.99296899829859,5.5141,0.545,23985714.8927
