,mom_20,value_ep,value_bp,size_small,liquidity_turnover_shock,mom_plus_value
mom_20,1.0,0.004716245346507859,-0.29566548419606564,0.017653528698109763,0.2779391226664974,0.8812168351864359
value_ep,0.004716245346507859,1.0,0.1723739423768955,-0.20275394111550155,-0.00804706856419816,0.31993460222019937
value_bp,-0.29566548419606564,0.1723739423768955,1.0,-0.37944773028800016,0.09629884594236106,-0.03231245410989744
size_small,0.017653528698109763,-0.20275394111550155,-0.37944773028800016,1.0,-0.030572970090488583,-0.18404737959705092
liquidity_turnover_shock,0.2779391226664974,-0.00804706856419816,0.09629884594236106,-0.030572970090488583,1.0,0.2847402583294405
mom_plus_value,0.8812168351864359,0.31993460222019937,-0.03231245410989744,-0.18404737959705092,0.2847402583294405,1.0
