,mom_20,value_ep,value_bp,size_small,liquidity_turnover_shock,mom_plus_value
mom_20,1.0,-0.007112184455207052,-0.30019983147609747,0.01780763971333383,0.3500952518511974,0.8765814433668636
value_ep,-0.007112184455207052,1.0,0.19085971210021138,-0.18621963553668816,0.013736510233399708,0.2969776098284815
value_bp,-0.30019983147609747,0.19085971210021138,1.0,-0.37153653970463024,0.06854675302473116,-0.03556863241006296
size_small,0.01780763971333383,-0.18621963553668816,-0.37153653970463024,1.0,-0.02717990838442188,-0.2012899792736322
liquidity_turnover_shock,0.3500952518511974,0.013736510233399708,0.06854675302473116,-0.02717990838442188,1.0,0.34020684794427086
mom_plus_value,0.8765814433668636,0.2969776098284815,-0.03556863241006296,-0.2012899792736322,0.34020684794427086,1.0
